,Area_unit_2013_code,Area_unit_2013_label,Victimisations,Population,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Rate,Safe_Label
938,552702,Kaimata,5,2910,502,Rural (Incl.some Off Shore Islands),Rural area,0.1718213058419244,True
937,506300,Dairy Flat-Redvale,5,2900,2,Northern Auckland Zone,Main urban area,0.1724137931034483,True
1466,586126,Woodend Beach,1,580,502,Rural (Incl.some Off Shore Islands),Rural area,0.1724137931034483,True
1306,560000,Pohangina,2,1160,502,Rural (Incl.some Off Shore Islands),Rural area,0.1724137931034483,True
1169,587846,Halswell Domain,3,1730,22,Christchurch,Main urban area,0.17341040462427745,True
865,508703,Fairview,6,3460,2,Northern Auckland Zone,Main urban area,0.17341040462427745,True
1305,560412,Maewa,2,1150,106,Feilding,Secondary urban area,0.17391304347826086,True
1047,527111,Whitikahu,4,2290,502,Rural (Incl.some Off Shore Islands),Rural area,0.17467248908296942,True
739,510500,Birkenhead East,8,4570,2,Northern Auckland Zone,Main urban area,0.175054704595186,True
1464,609700,Edendale Community,1,570,501,Rural Centre,Rural area,0.17543859649122806,True
1465,565400,Pencarrow,1,570,502,Rural (Incl.some Off Shore Islands),Rural area,0.17543859649122806,True
864,561422,Oroua Downs-Waitohi,6,3400,502,Rural (Incl.some Off Shore Islands),Rural area,0.17647058823529413,True
1168,610032,Chatton,3,1700,502,Rural (Incl.some Off Shore Islands),Rural area,0.17647058823529413,True
1167,597300,Leeston,3,1700,283,Leeston,Minor urban area,0.17647058823529413,True
936,559230,Lake Alice,5,2830,502,Rural (Incl.some Off Shore Islands),Rural area,0.17667844522968199,True
935,597720,Mt Somers,5,2830,502,Rural (Incl.some Off Shore Islands),Rural area,0.17667844522968199,True
644,523000,Pakuranga East,10,5640,5,Southern Auckland Zone,Main urban area,0.1773049645390071,True
934,569500,Kelson,5,2820,18,Lower Hutt Zone,Main urban area,0.1773049645390071,True
1166,555400,Maxwell,3,1690,502,Rural (Incl.some Off Shore Islands),Rural area,0.17751479289940827,True
562,547100,Greenmeadows,12,6730,12,Napier Zone,Main urban area,0.17830609212481427,True
1463,532601,Raurimu,1,560,502,Rural (Incl.some Off Shore Islands),Rural area,0.17857142857142858,True
738,511800,Sunnyvale,8,4480,3,Western Auckland Zone,Main urban area,0.17857142857142858,True
1462,536400,Island View-Pios Beach,1,560,501,Rural Centre,Rural area,0.17857142857142858,True
1304,608000,Maniototo,2,1120,502,Rural (Incl.some Off Shore Islands),Rural area,0.17857142857142858,True
933,573903,Newlands North,5,2790,20,Wellington Zone,Main urban area,0.17921146953405018,True
1046,580300,Renwick,4,2230,26,Blenheim,Main urban area,0.17937219730941703,True
932,515301,Ponsonby West,5,2780,4,Central Auckland Zone,Main urban area,0.1798561151079137,True
1303,508900,Long Bay,2,1110,2,Northern Auckland Zone,Main urban area,0.18018018018018017,True
1302,535900,Maketu Community,2,1100,501,Rural Centre,Rural area,0.18181818181818182,True
1461,585318,Hokitika Valley,1,550,502,Rural (Incl.some Off Shore Islands),Rural area,0.18181818181818182,True
863,603910,Wakari,6,3290,23,Dunedin,Main urban area,0.182370820668693,True
793,527504,Leamington West,7,3820,7,Cambridge Zone,Main urban area,0.18324607329842932,True
1301,560302,Whakarongo,2,1090,16,Palmerston North,Main urban area,0.1834862385321101,True
1300,607501,Teviot,2,1090,502,Rural (Incl.some Off Shore Islands),Rural area,0.1834862385321101,True
643,590000,Ilam,10,5450,22,Christchurch,Main urban area,0.1834862385321101,True
1165,564012,Waiopehu,3,1630,107,Levin,Secondary urban area,0.18404907975460122,True
1045,506652,Rewiti,4,2170,502,Rural (Incl.some Off Shore Islands),Rural area,0.18433179723502305,True
930,553302,Kahui,5,2710,502,Rural (Incl.some Off Shore Islands),Rural area,0.18450184501845018,True
931,521151,Awhitu,5,2710,502,Rural (Incl.some Off Shore Islands),Rural area,0.18450184501845018,True
1459,601602,Waitati,1,540,501,Rural Centre,Rural area,0.1851851851851852,True
792,516101,Remuera West,7,3780,4,Central Auckland Zone,Main urban area,0.1851851851851852,True
1460,527600,Ohaupo,1,540,6,Hamilton Zone,Main urban area,0.1851851851851852,True
791,577200,Miramar South,7,3760,20,Wellington Zone,Main urban area,0.18617021276595747,True
1044,501811,Waiotira-Springfield,4,2140,502,Rural (Incl.some Off Shore Islands),Rural area,0.1869158878504673,True
1043,581723,Saxton,4,2140,21,Nelson,Main urban area,0.1869158878504673,True
596,505010,Rehia-Oneriri,11,5870,502,Rural (Incl.some Off Shore Islands),Rural area,0.18739352640545145,True
1042,527700,Kihikihi,4,2130,8,Te Awamutu Zone,Main urban area,0.18779342723004694,True
1164,580450,Wairau South,3,1590,502,Rural (Incl.some Off Shore Islands),Rural area,0.18867924528301888,True
1041,513702,Waitakere,4,2120,3,Western Auckland Zone,Main urban area,0.18867924528301888,True
1457,558200,Marybank-Gordon Park,1,530,15,Wanganui,Main urban area,0.18867924528301888,True
1458,535000,Waharoa,1,530,501,Rural Centre,Rural area,0.18867924528301888,True
1456,563802,Opiki,1,530,502,Rural (Incl.some Off Shore Islands),Rural area,0.18867924528301888,True
686,600410,Waihao,9,4760,502,Rural (Incl.some Off Shore Islands),Rural area,0.18907563025210083,True
929,527913,Whatawhata,5,2640,6,Hamilton Zone,Main urban area,0.1893939393939394,True
685,536620,Minden,9,4750,502,Rural (Incl.some Off Shore Islands),Rural area,0.1894736842105263,True
790,522820,Sunnyhills,7,3690,5,Southern Auckland Zone,Main urban area,0.1897018970189702,True
1040,586802,Oxford,4,2100,280,Oxford,Minor urban area,0.19047619047619047,True
1299,612802,Riverton West,2,1050,299,Riverton,Minor urban area,0.19047619047619047,True
861,594900,Barrington South,6,3150,22,Christchurch,Main urban area,0.19047619047619047,True
862,562600,Terrace End,6,3150,16,Palmerston North,Main urban area,0.19047619047619047,True
737,510401,Kauri Park,8,4190,2,Northern Auckland Zone,Main urban area,0.1909307875894988,True
1163,577601,Maupuia,3,1570,20,Wellington Zone,Main urban area,0.1910828025477707,True
860,592500,Mairehau,6,3130,22,Christchurch,Main urban area,0.19169329073482427,True
859,506660,Cape Rodney,6,3120,502,Rural (Incl.some Off Shore Islands),Rural area,0.19230769230769232,True
789,529503,Fairview Downs,7,3640,6,Hamilton Zone,Main urban area,0.19230769230769232,True
928,502300,Whau Valley,5,2580,1,Whangarei,Main urban area,0.1937984496124031,True
684,587702,Wigram,9,4620,22,Christchurch,Main urban area,0.19480519480519481,True
1455,585307,Kaniere,1,510,276,Hokitika,Minor urban area,0.19607843137254902,True
858,536615,Aongatete,6,3060,502,Rural (Incl.some Off Shore Islands),Rural area,0.19607843137254902,True
1454,579400,Waingawa,1,510,502,Rural (Incl.some Off Shore Islands),Rural area,0.19607843137254902,True
561,564400,Otaki,12,6120,262,Otaki,Minor urban area,0.19607843137254902,True
595,550901,Bell Block,11,5610,14,New Plymouth,Main urban area,0.19607843137254902,True
788,547400,Pirimai,7,3570,12,Napier Zone,Main urban area,0.19607843137254902,True
560,508803,Unsworth Heights,12,6110,2,Northern Auckland Zone,Main urban area,0.19639934533551553,True
787,521501,Mellons Bay,7,3550,5,Southern Auckland Zone,Main urban area,0.19718309859154928,True
857,505806,Silverdale Central,6,3040,2,Northern Auckland Zone,Main urban area,0.19736842105263158,True
1039,527934,Rotoorangi,4,2020,502,Rural (Incl.some Off Shore Islands),Rural area,0.19801980198019803,True
1298,500207,Houhora,2,1010,502,Rural (Incl.some Off Shore Islands),Rural area,0.19801980198019803,True
1297,526702,Te Akau,2,1010,502,Rural (Incl.some Off Shore Islands),Rural area,0.19801980198019803,True
855,560200,Ashhurst,6,3030,16,Palmerston North,Main urban area,0.19801980198019803,True
856,548821,Iona,6,3030,13,Hastings Zone,Main urban area,0.19801980198019803,True
1038,526602,Te Uku,4,2010,502,Rural (Incl.some Off Shore Islands),Rural area,0.1990049751243781,True
444,525102,Wattle Farm,16,8010,5,Southern Auckland Zone,Main urban area,0.19975031210986266,True
1161,583400,The Brook,3,1500,21,Nelson,Main urban area,0.2,True
1162,527922,Pirongia,3,1500,502,Rural (Incl.some Off Shore Islands),Rural area,0.2,True
786,562922,Awapuni South,7,3500,16,Palmerston North,Main urban area,0.2,True
1296,527935,Te Rahu,2,990,8,Te Awamutu Zone,Main urban area,0.20202020202020202,True
785,588600,Harewood,7,3460,22,Christchurch,Main urban area,0.20231213872832368,True
1453,545761,Irongate,1,490,13,Hastings Zone,Main urban area,0.20408163265306123,True
1295,551021,Carrington,2,980,14,New Plymouth,Main urban area,0.20408163265306123,True
